customer_id,name,kana,birth_date,gender,age,occupation,income_band,segment,zip_code,address,phone,my_number,deposit_balance_manyen,managed_asset_manyen,branch_id,employee_id,account_open_date
C00012,遠藤 さゆり,サトウ ハナコ,1984-11-24,女性,41,医師,1500-3000万,マス,421-4065,茨城県ひたちなか市太田ヶ谷5-17,029-90-5905,829851334750,214,99,B04,E014,2008-03-08
C00013,小林 篤司,イトウ ミカコ,1962-10-31,男性,63,税理士,500-800万,マス,840-3728,栃木県佐野市外国府間5-16,0282-26-2512,566580698915,198,0,B15,E060,2005-06-22
C00014,加藤 直子,フジワラ ジュン,1962-11-28,女性,63,歯科医師,500-800万,準富裕層,521-6548,茨城県つくば市元浅草5-2,0288-67-3426,239284873367,2110,0,B01,E001,2011-08-16
C00015,鈴木 淳,ハヤシ ジュン,1946-12-14,男性,79,会社員,3000万以上,マス,610-7119,茨城県つくば市丸の内ＪＰタワー2-6,0288-42-7755,293379984954,479,213,B04,E016,2019-07-28
C00016,吉田 桃子,コバヤシ ヒロシ,1954-09-11,女性,71,年金生活者,1500-3000万,マスリテール,045-7144,栃木県真岡市丹勢3-10,0288-49-4652,821656143707,1006,487,B11,E044,2015-05-26
C00017,小林 香織,シミズ カナ,1981-09-15,女性,44,医師,300万未満,マスリテール,307-8308,茨城県ひたちなか市猿楽町2-19,0282-24-2776,579303623884,539,518,B06,E024,2018-05-03
C00018,加藤 七夏,タナカ ミノル,1992-12-15,女性,33,公務員,500-800万,マスリテール,693-2851,栃木県日光市皇居外苑5-7,0282-75-2146,834219825197,1068,0,B10,E040,2013-02-13
C00019,山本 修平,ゴトウ ヨウコ,1978-05-22,男性,48,経営者,1500-3000万,富裕層,476-7238,栃木県日光市戸山2-7,0285-68-3851,725413874351,6111,0,B09,E036,2018-07-06
C00020,小川 陽一,アベ ソウタロウ,1971-04-15,男性,55,税理士,1000-1500万,マスリテール,648-5491,茨城県筑西市前弥六南町4-6,0287-30-5649,828063322537,219,191,B06,E071,2021-05-14
C00021,森 翔太,タカハシ アツシ,1957-06-27,男性,69,弁護士,300万未満,マスリテール,486-1193,栃木県真岡市浅草橋5-3,0285-73-4185,867589450881,301,0,B09,E037,2013-04-16
C00022,山下 拓真,カトウ クミコ,1978-06-16,男性,48,歯科医師,800-1000万,マスリテール,005-1746,茨城県日立市箪笥町4-5,0288-79-9702,718423289092,,434,B08,E033,2009-05-18
C00023,佐藤 千代,ヤマダ ヨウイチ,1968-09-11,女性,57,不動産賃貸業,1500-3000万,マスリテール,543-9157,栃木県真岡市西神田3-8,0288-55-9540,789276095704,1258,259,B15,E059,2024-01-01
C00024,斎藤 裕太,ムラカミ ユイ,1967-09-28,男性,58,経営者,800-1000万,超富裕層,162-7777,茨城県取手市浅草4-11,0283-79-7812,323605728604,10645,5083,B03,E012,2010-03-09
C00025,近藤 淳,シミズ ナオコ,1967-06-07,男性,59,不動産賃貸業,1000-1500万,富裕層,730-4681,茨城県取手市戸島5-18,0288-97-4613,342615098233,4249,0,B06,E024,2010-06-08
C00026,坂本 治,タカハシ タクマ,1980-05-22,男性,46,公務員,1000-1500万,マスリテール,723-3505,茨城県日立市東三島4-5,0288-79-3977,383683812395,1434,927,B07,E030,2013-04-19
C00027,井上 舞,タナカ ツバサ,1964-11-11,女性,61,会社員,300-500万,マスリテール,788-9569,茨城県水戸市土沢5-2,0282-48-2124,145748937891,1004,477,B04,E014,2022-02-18
C00028,佐々木 太郎,マエダ マイ,1972-06-12,男性,54,会社役員,1000-1500万,マスリテール,752-8947,栃木県那須塩原市神明内2-20,0283-34-3683,443445860556,497,308,B15,E058,2014-10-07
C00029,吉田 明美,ナカムラ マアヤ,1981-12-06,女性,44,不動産賃貸業,1500-3000万,マスリテール,860-7657,栃木県栃木市山中新田1-10,0288-96-2983,961424120992,1225,115,B09,E034,2024-08-12
C00030,青木 裕美子,スズキ ツバサ,1951-12-03,女性,74,年金生活者,1500-3000万,マスリテール,472-2977,茨城県鹿嶋市中三依2-14,0280-86-5425,987408586371,340,247,B05,E021,2010-03-16
C00031,田中 花子,マエダ マアヤ,1959-03-11,女性,67,公務員,3000万以上,マスリテール,974-6906,栃木県佐野市花島4-8,0288-79-7209,131509583569,786,0,B11,E046,2021-09-12
C00032,佐藤 英樹,ナカガワ タロウ,1956-06-07,男性,70,自営業,800-1000万,マス,070-0659,栃木県佐野市轟5-1,0283-44-2402,891310598800,253,0,B13,E078,2023-12-28
C00033,村上 学,イトウ ナオキ,1979-02-21,男性,47,経営者,1000-1500万,マスリテール,577-3571,茨城県ひたちなか市入谷5-12,0285-90-9698,565332894722,895,149,B08,E033,2018-12-27
C00034,高橋 陽子,ゴトウ ケンイチ,1994-03-13,女性,32,税理士,300-500万,マスリテール,110-9481,茨城県筑西市独鈷沢2-7,0280-81-5530,747357163267,549,0,B05,E021,2023-07-30
C00035,加藤 裕樹,スズキ ユウキ,1987-05-11,男性,39,弁護士,800-1000万,マスリテール,248-1669,栃木県佐野市皇居外苑1-2,0283-57-3068,640104129762,526,0,B09,E034,2022-01-02
C00036,小川 裕美子,ナカムラ ツバサ,1978-09-26,女性,47,自営業,3000万以上,マスリテール,070-8289,栃木県真岡市丸の内1-3,0285-82-2213,793968021638,657,0,B13,E051,2005-04-03
C00037,長谷川 加奈,フジワラ リカ,1990-06-20,女性,36,医師,800-1000万,マス,470-2506,茨城県鹿嶋市戸塚町4-10,0288-95-8025,724081856069,463,0,B02,E006,2008-07-10
C00038,清水 零,ヤマダ ユミコ,1958-09-08,男性,67,弁護士,300-500万,マスリテール,872-4022,栃木県足利市前弥六2-1,0285-77-8699,135610687504,337,0,B09,E035,2010-07-31
C00039,伊藤 美加子,ナカムラ ミキ,1988-05-24,女性,38,経営者,3000万以上,富裕層,186-7988,茨城県石岡市下宇和田2-14,029-89-4683,265990327202,3713,0,B03,E011,2012-02-05
C00040,中村 涼平,イノウエ モモコ,1993-05-07,男性,33,会社役員,800-1000万,マス,087-3954,栃木県佐野市虎ノ門4-9,0283-89-9090,187779505945,557,295,B12,E048,2014-10-09
C00041,池田 里佳,ヤマダ アケミ,1949-09-29,女性,76,不動産賃貸業,1500-3000万,富裕層,226-6625,栃木県小山市長間4-17,0287-76-5557,579255341440,17524,5967,B14,E057,2011-02-15
C00042,山田 桃子,ヨシダ ユイ,1961-11-13,女性,64,会社員,500-800万,マスリテール,719-7434,栃木県大田原市上広谷5-2,0285-31-6153,453271363074,453,143,B16,E061,2011-02-18
C00043,鈴木 知実,スズキ ユイ,1993-06-29,女性,33,農業,1000-1500万,マス,706-3033,栃木県真岡市上高野1-7,0282-90-3146,417516936790,403,66,B16,E064,2009-04-30
C00044,渡辺 裕美子,オカモト サトミ,1960-02-09,女性,66,医師,3000万以上,準富裕層,369-2939,栃木県足利市皇居外苑4-4,0287-39-9165,889984729564,1916,1071,B14,E056,2005-04-14
C00045,渡辺 あすか,ハシモト クミコ,1977-07-12,女性,49,公務員,1500-3000万,マスリテール,770-8042,栃木県佐野市南郷屋4-11,0288-84-5377,103524233168,,303,B09,E036,2022-06-15
C00046,山田 美加子,タナカ アスカ,1957-11-16,女性,68,歯科医師,1500-3000万,超富裕層,882-7827,栃木県真岡市睦3-7,0287-50-7274,554302504239,15777,0,B10,E038,2021-06-10
C00047,佐々木 裕美子,タカハシ ヨウイチ,1973-09-14,女性,52,経営者,300-500万,富裕層,311-1395,茨城県筑西市西関宿5-11,0288-32-8213,675953876146,4487,7535,B04,E069,2007-05-16
C00048,斎藤 陽一,フジタ タクマ,1967-12-22,男性,58,公務員,500-800万,マスリテール,453-4871,茨城県筑西市津久戸町4-11,0287-82-9864,778759018230,972,244,B01,E001,2011-02-09
C00049,斎藤 加奈,シミズ ジュン,1978-09-06,女性,47,弁護士,300-500万,マスリテール,160-3929,茨城県ひたちなか市大中1-2,0282-27-5806,509561481457,1488,0,B03,E012,2016-01-15
C00050,佐藤 美加子,ヤマモト チヨ,1959-09-10,女性,66,不動産賃貸業,1500-3000万,マスリテール,289-7438,茨城県石岡市蟇沼2-16,0283-38-4804,802060293051,947,0,B02,E008,2018-09-30
C00051,後藤 充,ヨシダ ヒデキ,1956-06-18,男性,70,自営業,800-1000万,マスリテール,152-4352,茨城県取手市湯本塩原3-15,0288-58-4263,525199071794,838,178,B08,E073,2006-06-06
C00052,小川 陽子,ヨシダ ミカコ,1980-02-14,女性,46,不動産賃貸業,1500-3000万,富裕層,716-6594,茨城県水戸市上広谷5-16,0288-56-4770,983075619976,7234,0,B01,E003,2015-01-04
C00053,吉田 学,サカモト ユウタ,1961-06-09,男性,65,不動産賃貸業,3000万以上,超富裕層,256-0423,茨城県水戸市前弥六南町3-15,029-94-6977,244879382019,25904,17898,B03,E009,2009-07-31
C00054,中川 直子,マエダ ケンイチ,1968-12-29,女性,57,経営者,3000万以上,富裕層,667-7245,栃木県小山市脚折3-16,0288-57-6549,228008204060,4354,8023,B14,E057,2008-08-18
C00055,山崎 直樹,ヤマダ ツバサ,1961-12-30,男性,64,弁護士,800-1000万,マスリテール,686-1713,栃木県真岡市氏家新田3-9,0283-68-7086,839199717879,403,0,B16,E062,2011-08-06
C00056,山本 真綾,ヤマダ タイチ,1957-11-14,女性,68,不動産賃貸業,500-800万,準富裕層,118-6622,茨城県水戸市花川戸1-10,0285-34-2592,248337633154,3538,1990,B08,E073,2021-07-01
C00057,阿部 結衣,カトウ サトミ,1971-06-10,女性,55,不動産賃貸業,1000-1500万,マスリテール,637-8167,茨城県土浦市戸山4-15,0280-66-2627,855832329275,1556,582,B07,E029,2020-03-13
C00058,渡辺 くみ子,ヨシダ ミキ,1951-03-12,女性,75,会社役員,3000万以上,超富裕層,996-9975,栃木県宇都宮市中川崎3-8,0280-92-4362,708876714629,9616,0,B09,E035,2019-03-13
C00059,井上 英樹,スズキ カナ,1968-07-13,男性,58,会社員,3000万以上,準富裕層,120-2522,栃木県小山市鳥越5-9,0288-42-2801,241844645681,4614,0,B09,E034,2023-08-27
C00060,山口 淳,ムラカミ ミキ,1957-06-06,男性,69,不動産賃貸業,500-800万,富裕層,564-2369,茨城県鹿嶋市芝公園3-17,0283-33-8405,342682139286,3451,0,B05,E021,2008-10-24
C00061,遠藤 直子,ナカムラ モモコ,1958-08-16,女性,68,自営業,300-500万,マスリテール,002-4634,茨城県日立市九段南3-20,0280-28-3067,784080984782,679,246,B01,E066,2021-09-30
C00062,遠藤 美加子,ナカムラ ユイ,1983-11-27,女性,42,公務員,1000-1500万,マスリテール,386-7460,栃木県栃木市隼町4-15,0280-72-6553,601769944847,734,942,B09,E037,2022-05-23
C00063,木村 翔太,サトウ ミキ,1980-12-18,男性,45,会社員,300-500万,マスリテール,830-6246,茨城県日立市芝公園1-14,029-67-3131,166814103555,564,429,B06,E026,2024-10-07
C00064,佐々木 あすか,ヤマグチ ヒロシ,1961-12-06,女性,64,年金生活者,300-500万,マス,102-7213,栃木県佐野市南赤田5-10,0282-33-9313,268417430757,163,39,B15,E080,2015-07-09
C00065,佐藤 京助,エンドウ クミコ,1948-10-25,男性,77,会社員,300万未満,マスリテール,800-4342,茨城県ひたちなか市平河町1-6,0282-59-6567,105802601424,433,410,B03,E010,2017-06-19
C00066,阿部 花子,ミウラ リカ,1981-08-26,女性,45,医師,500-800万,マス,777-7994,栃木県那須塩原市竜泉5-20,029-26-3549,929604758482,142,112,B13,E051,2005-09-20
C00067,伊藤 七夏,ナカジマ ツバサ,1994-11-22,女性,31,自営業,500-800万,マスリテール,778-1646,栃木県足利市戸山3-19,0285-87-6053,340713234664,,138,B10,E041,2008-04-30
C00068,青木 篤司,オガワ ナナミ,1963-04-13,男性,63,会社役員,1000-1500万,準富裕層,441-2385,栃木県那須塩原市長間1-1,0285-75-3878,517166676092,2014,0,B16,E065,2015-08-16
C00069,高橋 香織,シミズ チヨ,1970-05-19,女性,56,医師,1500-3000万,超富裕層,597-2344,栃木県大田原市天神島3-4,0285-22-6321,981206485371,31192,0,B10,E042,2014-03-23
C00070,山田 明美,アオキ ユイ,1953-01-21,女性,73,医師,1000-1500万,富裕層,452-5661,茨城県古河市九段南2-11,0288-41-2251,797977210972,8866,2517,B08,E031,2017-10-11
C00071,池田 智也,タナカ マアヤ,1988-07-08,男性,38,会社員,300-500万,マスリテール,109-3886,栃木県鹿沼市芝浦2-3,0280-83-8601,721715610769,2055,193,B09,E074,2016-06-09
C00072,中川 七夏,マツダ ミノル,1965-03-08,女性,61,年金生活者,300-500万,マスリテール,008-9272,茨城県筑西市中三依1-10,0285-77-1616,503971266742,651,0,B07,E029,2023-03-19
C00073,村上 涼平,フジタ チヨ,1975-12-17,男性,50,不動産賃貸業,3000万以上,準富裕層,360-3588,茨城県水戸市鍛冶ケ沢4-19,0287-44-6267,622289523089,2528,0,B01,E005,2017-06-01
C00074,清水 涼平,ヤマモト トモヤ,1946-09-14,男性,79,自営業,1500-3000万,マス,373-2153,茨城県取手市前弥六南町4-11,0287-96-1857,794879438508,341,147,B02,E008,2023-03-11
C00075,中島 健一,タカハシ ヒデキ,1989-09-11,男性,36,農業,1000-1500万,マスリテール,374-8697,茨城県つくば市西浅草5-3,0282-91-7171,970347176290,614,144,B01,E003,2023-04-09
C00076,渡辺 洋介,フジワラ ナナミ,1983-01-27,男性,43,年金生活者,3000万以上,マスリテール,346-1886,栃木県真岡市入谷2-8,0280-39-2264,210759132777,631,171,B12,E048,2024-04-03
C00077,前田 翔太,フジワラ ユイ,1963-08-27,男性,63,不動産賃貸業,1500-3000万,超富裕層,809-6464,栃木県宇都宮市東和町4-12,0287-50-8277,411860132678,10443,27955,B10,E075,2010-04-16
C00078,山田 稔,ハヤシ リカ,1992-12-13,男性,33,農業,3000万以上,マス,110-3830,栃木県真岡市上野公園4-10,0288-68-9239,561826923220,127,226,B11,E044,2005-07-02
C00079,藤井 翔太,ヤマザキ トモヤ,1991-05-18,男性,35,税理士,1000-1500万,マス,309-6689,栃木県佐野市睦4-17,0280-75-2502,998601810842,785,216,B12,E077,2007-10-18
C00080,山本 直樹,スズキ リョウヘイ,1972-05-31,男性,54,公務員,500-800万,マス,397-7432,栃木県足利市月島3-5,0280-24-5700,866533357163,260,62,B14,E055,2018-05-30
C00081,林 くみ子,アベ ミキ,1976-05-25,女性,50,自営業,300-500万,マスリテール,961-4583,栃木県佐野市土呂部2-10,029-26-4906,801882806220,196,499,B11,E047,2018-10-21
C00082,吉田 翔太,スズキ ハルカ,1972-10-07,男性,53,自営業,300万未満,マスリテール,660-5876,茨城県古河市日光2-19,0285-43-2402,174563225376,761,405,B07,E072,2012-12-18
C00083,藤原 亮介,スズキ サトミ,1977-09-22,男性,48,公務員,300-500万,マスリテール,611-0349,栃木県栃木市中三依1-19,0287-62-3185,486737476962,369,444,B09,E074,2020-09-25
C00084,岡本 陽一,スズキ ヤスヒロ,1973-04-06,男性,53,年金生活者,300-500万,マスリテール,600-3538,茨城県鹿嶋市天神島1-10,0280-25-4268,146754113706,1543,0,B05,E019,2011-07-28
C00085,後藤 陽子,ワタナベ キョウスケ,1995-05-12,女性,31,農業,500-800万,マスリテール,553-4106,栃木県宇都宮市大中3-9,029-67-8159,541906979680,296,0,B15,E080,2007-03-14
C00086,高橋 春香,ハヤシ アキラ,1953-11-20,女性,72,会社員,1000-1500万,マス,053-2076,栃木県足利市高田馬場4-20,0288-43-9937,453449035452,298,134,B14,E054,2015-07-10
C00087,佐々木 春香,ヤマダ ショウタ,1993-03-19,女性,33,税理士,1500-3000万,マスリテール,044-8543,茨城県古河市皇居外苑5-14,0282-27-2229,802962382098,,232,B01,E004,2014-02-28
C00088,佐藤 直樹,ヨシダ カナ,1970-01-01,男性,56,会社役員,1500-3000万,準富裕層,931-7267,茨城県古河市蟇沼4-19,029-97-3513,596837788361,6330,555,B05,E019,2022-12-26
C00089,斎藤 治,ワタナベ ミツル,1974-11-08,男性,51,不動産賃貸業,1500-3000万,準富裕層,729-5327,茨城県鹿嶋市芝浦5-13,0283-35-5288,386796288645,2607,712,B05,E070,2024-11-21
C00090,山田 陽子,スズキ カナ,1988-06-28,女性,38,経営者,300-500万,マスリテール,666-9033,茨城県鹿嶋市下吉羽1-11,0287-64-2063,695067706602,519,0,B07,E029,2013-08-08
C00091,加藤 洋介,カトウ カナ,1960-12-09,男性,65,経営者,500-800万,マスリテール,320-4176,栃木県小山市北青山2-16,029-66-7044,982475788471,1169,0,B14,E079,2024-01-27
C00092,鈴木 洋介,スズキ カズヤ,1982-12-21,男性,43,医師,800-1000万,マスリテール,381-2131,茨城県つくば市日光3-3,0285-79-9476,238918633188,514,233,B02,E007,2016-09-23
C00093,森 翼,エンドウ マイ,1989-04-09,男性,37,公務員,500-800万,マスリテール,738-0842,栃木県栃木市鶴ヶ丘3-17,0282-30-5105,796627812257,478,0,B11,E047,2017-01-03
C00094,鈴木 桃子,タカハシ ナオキ,1956-06-08,女性,70,不動産賃貸業,1500-3000万,準富裕層,110-5736,茨城県つくば市月島5-20,0282-92-1674,186021209147,946,0,B03,E009,2007-04-20
C00095,木村 舞,サイトウ ミノル,1987-04-20,女性,39,年金生活者,500-800万,マス,273-0474,栃木県佐野市柿木沢4-8,0288-71-5873,179257368565,444,119,B15,E058,2010-06-19
C00096,西村 春香,タナカ キョウスケ,1973-11-18,女性,52,自営業,1000-1500万,マスリテール,410-1140,茨城県古河市湯本塩原4-5,0288-67-9437,218376390592,367,0,B02,E008,2019-10-27
C00097,鈴木 直人,コバヤシ トモヤ,1962-05-21,男性,64,税理士,1000-1500万,富裕層,378-5105,茨城県石岡市東神田4-8,0288-40-6364,735370624829,4722,0,B03,E068,2020-07-15
C00098,斉藤 京助,マエダ アツシ,1979-05-16,男性,47,自営業,800-1000万,マスリテール,278-7259,茨城県土浦市箪笥町2-19,0282-26-1828,642374295556,553,124,B04,E069,2014-09-18
C00099,加藤 修平,ナカムラ カズヤ,1959-06-12,男性,67,医師,1000-1500万,超富裕層,694-9717,茨城県水戸市蔵前4-2,0283-91-4189,707147416489,9787,0,B03,E011,2015-07-16
C00100,佐藤 真綾,サトウ ソウタロウ,1993-03-17,女性,33,農業,300-500万,マスリテール,785-2248,茨城県石岡市平須賀5-13,0283-25-1742,250490989573,1468,312,B01,E066,2010-10-16
C00101,佐藤 舞,タカハシ ヒデキ,1980-11-19,女性,45,農業,800-1000万,マスリテール,512-9154,茨城県筑西市六番町5-16,0287-92-5911,995392845738,541,770,B04,E014,2006-06-11
C00102,吉田 智也,イシイ ヒロシ,1966-11-22,男性,59,公務員,3000万以上,マスリテール,414-6843,茨城県石岡市羽折町5-8,0287-26-8871,676257961395,1655,123,B05,E070,2007-04-22
C00103,藤原 さゆり,ムラカミ ハルカ,1949-06-30,女性,77,歯科医師,1000-1500万,準富裕層,864-1734,栃木県大田原市長間2-14,0283-98-8726,902024314077,1490,514,B10,E038,2013-09-18
C00104,松本 拓真,ナカジマ チヨ,1961-12-26,男性,64,農業,1500-3000万,富裕層,172-1251,栃木県佐野市橋場5-16,0280-51-5571,428814478413,5571,0,B10,E039,2017-08-31
C00105,青木 春香,イシカワ リカ,1986-07-25,女性,40,税理士,500-800万,マスリテール,241-1684,栃木県佐野市横林3-4,0283-89-7220,999342668835,298,0,B15,E060,2010-02-13
C00106,斎藤 康弘,タナカ ヤスヒロ,1977-01-09,男性,49,税理士,500-800万,マス,475-9236,栃木県佐野市秋葉原4-7,0280-88-5442,718187630594,158,0,B15,E060,2018-08-15
C00107,遠藤 充,タカハシ カオリ,1968-11-29,男性,57,弁護士,1000-1500万,マス,646-4961,茨城県日立市五味ヶ谷2-1,0283-40-7666,626029124512,409,48,B02,E007,2016-10-29
C00108,山口 七夏,ヤマダ アスカ,1963-10-21,女性,62,会社員,800-1000万,マスリテール,293-1257,栃木県日光市前弥六南町1-6,0285-42-1595,964993505193,2725,0,B11,E046,2017-04-20
C00109,山田 結衣,ヤマダ ヨウイチ,1974-02-25,女性,52,会社役員,1500-3000万,富裕層,192-5267,茨城県筑西市上野桜木4-5,0288-84-8668,311625223853,3882,1669,B03,E009,2015-01-10
C00110,山田 花子,ヤマグチ ケンイチ,1946-12-30,女性,79,年金生活者,800-1000万,マスリテール,724-7172,茨城県取手市富久町4-17,0282-31-7567,205953647125,574,108,B04,E015,2015-06-25
C00111,小林 七夏,カトウ ハナコ,1979-08-16,女性,47,会社員,800-1000万,マス,053-5482,栃木県鹿沼市東三島1-9,0287-66-4871,830411262281,151,79,B16,E061,2011-08-06
C00112,渡辺 裕太,ナカムラ ヒロシ,1978-11-04,男性,47,公務員,1500-3000万,マスリテール,938-5731,茨城県ひたちなか市猿楽町3-20,0280-48-3188,269557500167,,216,B08,E073,2024-05-09
C00113,高橋 香織,イノウエ リカ,1985-05-16,女性,41,公務員,500-800万,マスリテール,832-2093,栃木県鹿沼市松が谷1-17,0285-87-6927,222682170508,758,360,B10,E038,2006-11-14
C00114,山口 晃,ヤマモト サトミ,1962-06-05,男性,64,不動産賃貸業,800-1000万,マスリテール,784-7967,栃木県足利市上高野5-15,0288-27-8429,663207412387,447,156,B12,E077,2009-07-13
C00115,高橋 聡太郎,ヤマグチ ヒデキ,1987-08-03,男性,39,農業,500-800万,マスリテール,904-8626,茨城県水戸市中小来川2-19,029-25-7941,870278886192,867,0,B07,E027,2018-03-28
C00116,斎藤 京助,タナカ ユウキ,1984-04-28,男性,42,医師,3000万以上,富裕層,828-2712,栃木県大田原市富久町4-13,0285-30-9835,817830725289,3041,3246,B09,E036,2005-11-16
C00117,森 千代,サイトウ ミカコ,1956-12-07,女性,69,農業,300-500万,準富裕層,244-5070,茨城県ひたちなか市上野公園4-18,0285-88-7214,352644409339,3214,0,B01,E002,2023-01-29
C00118,小林 浩,ヤマダ ナナミ,1984-09-06,男性,41,税理士,300万未満,マス,514-8641,茨城県水戸市高田馬場4-15,0280-89-4559,163462710020,223,178,B08,E032,2024-04-28
C00119,小川 くみ子,サトウ ミキ,1989-07-30,女性,37,弁護士,1500-3000万,マスリテール,567-1680,栃木県日光市東浅草2-14,0282-55-1998,787946958681,816,462,B09,E037,2022-01-08
C00120,鈴木 健一,ヤマダ モモコ,1952-07-07,男性,74,会社員,500-800万,マスリテール,447-1502,栃木県小山市神明内3-13,0280-88-8758,427385361962,1390,0,B09,E035,2021-05-02
C00121,福田 翼,カトウ タロウ,1957-01-09,男性,69,農業,800-1000万,マスリテール,083-6142,栃木県真岡市外国府間3-3,0283-44-1844,513469894146,462,0,B12,E048,2005-07-25
C00122,村上 充,オガワ クミコ,1946-12-15,男性,79,不動産賃貸業,1500-3000万,マスリテール,939-7740,栃木県佐野市豊町1-7,0280-35-8846,370215467820,844,0,B13,E052,2020-03-05
C00123,山田 晃,サトウ シュウヘイ,1987-08-01,男性,39,農業,800-1000万,マスリテール,561-9975,茨城県鹿嶋市三筋4-4,0288-80-6246,327265319003,1025,222,B06,E024,2013-06-19
C00124,伊藤 和也,イトウ ミツル,1985-06-27,男性,41,不動産賃貸業,500-800万,マス,468-1029,茨城県石岡市無栗屋2-16,0283-63-5216,807482294267,334,88,B04,E069,2021-09-25
C00125,林 明美,ヤマシタ ソウタロウ,1966-11-21,女性,59,歯科医師,500-800万,準富裕層,629-5780,茨城県水戸市中川崎1-2,0288-20-7756,356111913411,3616,1151,B08,E031,2016-05-31
C00126,阿部 治,スズキ モモコ,1972-09-30,男性,53,弁護士,300万未満,マスリテール,805-8316,栃木県佐野市土沢5-10,029-84-8054,297180975168,672,299,B10,E038,2012-10-22
C00127,佐藤 拓真,ワタナベ アケミ,1963-03-18,男性,63,弁護士,3000万以上,マス,069-5649,栃木県真岡市中川崎5-8,0287-48-5914,189540907419,344,176,B15,E058,2019-08-29
C00128,藤田 花子,サトウ ヒデキ,1962-04-07,女性,64,公務員,3000万以上,マスリテール,658-2868,茨城県日立市今戸5-2,0280-47-8790,148408984648,661,363,B01,E001,2024-08-12
C00129,清水 くみ子,ヤマシタ トモヤ,1946-11-20,女性,79,農業,800-1000万,マスリテール,206-0717,栃木県大田原市木立5-11,0285-37-2284,918194675138,825,161,B10,E040,2022-09-18
C00130,福田 桃子,オカモト ユイ,1969-02-21,女性,57,弁護士,300-500万,準富裕層,037-3131,茨城県ひたちなか市鶴ヶ丘4-16,0280-65-7150,303718235716,1383,578,B01,E066,2012-02-21
C00131,遠藤 花子,タカハシ ハルカ,1967-04-14,女性,59,医師,1000-1500万,準富裕層,409-7204,栃木県大田原市芝公園2-13,0282-66-2745,104688044575,1980,0,B09,E036,2011-10-13
C00132,佐々木 幹,ニシムラ モモコ,1958-08-08,女性,68,医師,500-800万,準富裕層,084-6955,茨城県筑西市方京1-20,0283-61-7311,417880582454,,1016,B07,E030,2013-08-12
C00133,井上 太一,スズキ ミノル,1960-01-29,男性,66,経営者,800-1000万,マスリテール,456-9873,茨城県日立市津久戸町2-14,0282-73-5911,961073216850,754,150,B06,E022,2008-05-02
C00134,中村 篤司,サイトウ マイ,1959-01-01,男性,67,経営者,500-800万,マスリテール,810-0939,茨城県古河市二つ室4-11,0285-96-3230,453477677991,693,126,B05,E021,2018-06-04
C00135,小林 陽一,ミウラ キョウスケ,1988-04-12,男性,38,自営業,1000-1500万,マスリテール,694-7179,栃木県真岡市土呂部5-8,0282-68-5592,966795243734,442,0,B15,E080,2007-07-11
